Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG000005,,Personal & Car related issues,
BKG000006,,The customer was coughing/sick,
BKG000008,,,Vehicle Breakdown
BKG000013,,Customer related issue,
BKG000019,,,Customer Demand
BKG000025,,Customer related issue,
BKG000026,,More than permitted people in there,
BKG000033,,,Vehicle Breakdown
BKG000034,,The customer was coughing/sick,
BKG000037,,Customer related issue,
BKG000047,,,Vehicle Breakdown
BKG000051,,,Other Issue
BKG000059,,,Other Issue
BKG000064,,,Customer Demand
BKG000065,,More than permitted people in there,
BKG000069,Wrong Address,,
BKG000073,,,Customer Demand
BKG000074,AC is not working,,
BKG000078,,The customer was coughing/sick,
BKG000079,,,Customer Demand
BKG000080,,More than permitted people in there,
BKG000084,,,Other Issue
BKG000088,,,Vehicle Breakdown
BKG000089,,The customer was coughing/sick,
BKG000090,,Customer related issue,
BKG000095,Change of plans,,
BKG000096,,The customer was coughing/sick,
BKG000102,,,Vehicle Breakdown
BKG000106,,,Customer Demand
BKG000107,,,Vehicle Breakdown
BKG000114,Driver asked to cancel,,
BKG000118,,More than permitted people in there,
BKG000119,,,Customer Demand
BKG000120,,,Vehicle Breakdown
BKG000124,Change of plans,,
BKG000125,,More than permitted people in there,
BKG000126,,The customer was coughing/sick,
BKG000133,,Customer related issue,
BKG000134,,Customer related issue,
BKG000135,,,Customer Demand
BKG000136,,More than permitted people in there,
BKG000138,AC is not working,,
BKG000142,,More than permitted people in there,
BKG000143,,The customer was coughing/sick,
BKG000150,,,Customer Demand
BKG000151,Change of plans,,
BKG000153,,,Customer Demand
BKG000156,,More than permitted people in there,
BKG000161,,More than permitted people in there,
BKG000162,,More than permitted people in there,
BKG000169,,The customer was coughing/sick,
BKG000173,Wrong Address,,
BKG000177,Driver asked to cancel,,
BKG000179,Change of plans,,
BKG000181,,,Customer Demand
BKG000182,,Customer related issue,
BKG000184,Driver is not moving towards pickup location,,
BKG000186,,,Other Issue
BKG000189,,The customer was coughing/sick,
BKG000190,,,Customer Demand
BKG000191,,More than permitted people in there,
BKG000194,Change of plans,,
BKG000195,,Personal & Car related issues,
BKG000196,,,Vehicle Breakdown
BKG000197,,The customer was coughing/sick,
BKG000200,Driver is not moving towards pickup location,,
BKG000202,Change of plans,,
BKG000204,,,Customer Demand
BKG000207,,More than permitted people in there,
BKG000208,,Customer related issue,
BKG000211,Driver asked to cancel,,
